,build_year,lat,lng,total_building,total_house,wy_fee
2384,2008,106.548901,29.577621,23,3374,2.8
2385,2008,106.548901,29.577621,23,3374,2.8
2386,2009,106.54233,29.564769,16,2917,2.2
2387,2008,106.548901,29.577621,23,3374,2.8
2388,2009,106.54233,29.564769,16,2917,2.2
2389,2008,106.548901,29.577621,23,3374,2.8
2390,2008,106.548901,29.577621,23,3374,2.8
2391,2009,106.54233,29.564769,16,2917,2.2
2392,2008,106.548901,29.577621,23,3374,2.8
2393,2009,106.54233,29.564769,16,2917,2.2
2394,2008,106.548901,29.577621,23,3374,2.8
2395,2008,106.548901,29.577621,23,3374,2.8
2396,2009,106.54233,29.564769,16,2917,2.2
2397,2008,106.548901,29.577621,23,3374,2.8
2398,2009,106.54233,29.564769,16,2917,2.2
2399,2008,106.548901,29.577621,23,3374,2.8
2400,2008,106.548901,29.577621,23,3374,2.8
2401,2009,106.54233,29.564769,16,2917,2.2
2402,2008,106.548901,29.577621,23,3374,2.8
2403,2009,106.54233,29.564769,16,2917,2.2
2404,2008,106.548901,29.577621,23,3374,2.8
2405,2008,106.548901,29.577621,23,3374,2.8
2406,2009,106.54233,29.564769,16,2917,2.2
2407,2008,106.548901,29.577621,23,3374,2.8
2408,2009,106.54233,29.564769,16,2917,2.2
2409,2008,106.548901,29.577621,23,3374,2.8
2410,2008,106.548901,29.577621,23,3374,2.8
2411,2009,106.54233,29.564769,16,2917,2.2
2412,2008,106.548901,29.577621,23,3374,2.8
2413,2009,106.54233,29.564769,16,2917,2.2
2414,2008,106.548901,29.577621,23,3374,2.8
2415,2008,106.548901,29.577621,23,3374,2.8
2416,2009,106.54233,29.564769,16,2917,2.2
2417,2008,106.548901,29.577621,23,3374,2.8
2418,2009,106.54233,29.564769,16,2917,2.2
2419,2008,106.548901,29.577621,23,3374,2.8
2420,2008,106.548901,29.577621,23,3374,2.8
2421,2009,106.54233,29.564769,16,2917,2.2
2422,2008,106.548901,29.577621,23,3374,2.8
2423,2009,106.54233,29.564769,16,2917,2.2
2424,2008,106.548901,29.577621,23,3374,2.8
2425,2008,106.548901,29.577621,23,3374,2.8
2426,2009,106.54233,29.564769,16,2917,2.2
2427,2008,106.548901,29.577621,23,3374,2.8
2428,2009,106.54233,29.564769,16,2917,2.2
2429,2008,106.548901,29.577621,23,3374,2.8
2430,2008,106.548901,29.577621,23,3374,2.8
2431,2009,106.54233,29.564769,16,2917,2.2
2432,2008,106.548901,29.577621,23,3374,2.8
2433,2009,106.54233,29.564769,16,2917,2.2
2434,2008,106.548901,29.577621,23,3374,2.8
2435,2008,106.548901,29.577621,23,3374,2.8
2436,2009,106.54233,29.564769,16,2917,2.2
2437,2008,106.548901,29.577621,23,3374,2.8
2438,2009,106.54233,29.564769,16,2917,2.2
2439,2008,106.548901,29.577621,23,3374,2.8
2440,2008,106.548901,29.577621,23,3374,2.8
2441,2009,106.54233,29.564769,16,2917,2.2
2442,2008,106.548901,29.577621,23,3374,2.8
2443,2009,106.54233,29.564769,16,2917,2.2
2444,2008,106.548901,29.577621,23,3374,2.8
2445,2008,106.548901,29.577621,23,3374,2.8
